"q0002","q0003","q0004","q0005","Apego_ansiedade","Apego_evitativo","Adaptacao","Autonomia","Afetivo"
1,30,5,19,5.2,1.0,1.0,1.75,1.0
1,19,5,25,4.0,2.6,2.4615384615384617,2.0,2.0952380952380953
1,23,5,6,4.4,4.0,1.6923076923076923,1.75,1.9523809523809523
1,20,4,15,4.4,2.4,2.076923076923077,1.75,1.619047619047619
1,28,6,25,5.2,2.8,1.4615384615384615,1.5,1.4761904761904763
1,23,4,24,3.8,1.0,2.4615384615384617,2.625,1.6666666666666667
1,21,6,7,3.2,3.0,1.7692307692307692,2.625,1.380952380952381
1,23,6,15,4.0,3.6,2.076923076923077,2.5,1.1428571428571428
2,21,4,10,6.4,2.8,2.5384615384615383,2.75,2.238095238095238
1,18,4,20,6.6,2.6,2.230769230769231,2.0,1.7619047619047619
1,20,5,10,4.8,1.4,1.3076923076923077,1.125,1.8571428571428572
1,28,6,19,4.2,2.4,2.230769230769231,2.25,1.619047619047619
1,30,5,15,6.2,2.8,2.1538461538461537,1.625,1.8571428571428572
1,37,6,13,6.4,5.4,2.076923076923077,2.625,2.1904761904761907
1,26,4,6,5.8,2.4,1.7692307692307692,1.875,1.380952380952381
1,23,4,24,5.4,4.2,2.5384615384615383,2.5,1.7619047619047619
1,24,4,17,1.8,4.6,2.076923076923077,2.875,1.8095238095238095
1,20,5,10,5.2,4.4,1.6153846153846154,1.125,1.2380952380952381
1,18,4,5,6.4,3.4,1.7692307692307692,1.25,1.4761904761904763
1,36,6,15,2.0,1.2,2.230769230769231,3.0,2.0952380952380953
1,31,8,25,2.8,1.6,2.769230769230769,3.0,3.0
2,23,4,25,5.2,1.0,1.8461538461538463,1.25,1.380952380952381
1,20,4,25,5.2,5.4,2.1538461538461537,2.375,1.5238095238095237
1,24,6,15,3.6,1.6,2.1538461538461537,2.625,1.5714285714285714
1,19,1,10,5.0,2.8,2.1538461538461537,2.25,2.0476190476190474
1,21,5,15,4.6,4.8,1.8461538461538463,2.5,1.9047619047619047
1,50,6,15,3.4,2.2,2.076923076923077,2.0,1.6666666666666667
1,21,5,17,5.2,1.0,2.3846153846153846,2.625,2.4285714285714284
1,22,5,17,3.0,2.8,2.1538461538461537,2.375,1.4761904761904763
1,19,5,15,3.6,3.6,1.9230769230769231,2.0,1.4761904761904763
1,25,5,15,6.0,2.4,2.6923076923076925,2.5,2.4761904761904763
2,19,4,3,2.8,3.4,2.1538461538461537,1.75,2.380952380952381
2,18,4,15,4.6,3.4,1.6923076923076923,2.0,1.1904761904761905
1,20,5,15,3.8,2.0,2.1538461538461537,1.75,2.1904761904761907
1,20,5,7,3.8,2.0,2.230769230769231,2.75,1.9523809523809523
1,21,5,17,6.0,1.0,1.6923076923076923,1.25,1.619047619047619
1,20,4,25,5.0,1.0,1.8461538461538463,2.375,1.380952380952381
1,18,4,15,2.2,2.8,2.1538461538461537,2.25,1.8095238095238095
1,21,5,17,5.8,1.2,2.0,2.75,1.8571428571428572
1,20,5,14,5.6,2.2,2.076923076923077,1.25,1.619047619047619
